piece,piece_url,Work Title,Composer,Opus/Catalogue NumberOp./Cat. No.,Key,Movements/SectionsMov'ts/Sec's,Year/Date of CompositionY/D of Comp.,Composer Time PeriodComp. Period,Piece Style,Instrumentation,Average DurationAvg. Duration
"Suite in F minor, BWV 823 (Bach, Johann Sebastian)",https://imslp.org/wiki/Suite_in_F_minor%2C_BWV_823_(Bach%2C_Johann_Sebastian),Suite,"Bach, Johann Sebastian",BWV 823 ; BC L 167,F minor,3 complete movements + fragment:1. Prélude2. Sarabande en Rondeau3. Gigue[fragment of Allemande],1715?,Baroque,Baroque,keyboard,
"Suite in G minor, BWV 822 (Bach, Johann Sebastian)",https://imslp.org/wiki/Suite_in_G_minor%2C_BWV_822_(Bach%2C_Johann_Sebastian),Suite,"Bach, Johann Sebastian",BWV 822 ; BC L 168,G minor,8 movements:OuvertureAriaGavotte en RondeauBourréeMenuet IMenuet IIMenuet IIIGigue,1709 before,Baroque,Baroque,keyboard,
"Suite in G minor, BWV 995 (Bach, Johann Sebastian)",https://imslp.org/wiki/Suite_in_G_minor%2C_BWV_995_(Bach%2C_Johann_Sebastian),Suite in g,"Bach, Johann Sebastian",BWV 995,G minor,7 movements:PreludeAllemandeCouranteSarabandeGavotte IGavotte II en RondeauGigue,1727–32?,Baroque,Baroque,lute (or lute-harpsichord),
"Suscepit Israel puerum suum, BWV 1082 (Bach, Johann Sebastian)",https://imslp.org/wiki/Suscepit_Israel_puerum_suum%2C_BWV_1082_(Bach%2C_Johann_Sebastian),Magnificat,"Caldara, Antonio",(BWV 1082) ; (BWV 1082/243a ->; BC E 15),C major,,,Baroque,Baroque,"4 trumpets, alto trombone (or viola), timpani, strings, continuo",
"Süsser Trost, mein Jesus kömmt, BWV 151 (Bach, Johann Sebastian)",https://imslp.org/wiki/S%C3%BCsser_Trost%2C_mein_Jesus_k%C3%B6mmt%2C_BWV_151_(Bach%2C_Johann_Sebastian),"Süsser Trost, mein Jesus kömmt","Bach, Johann Sebastian",BWV 151 ; BC A 17,G major,"5 movements:Aria (soprano): Süßer Trost, mein Jesus kömmtRecitative (bass): Erfreue dich, mein HerzAria (alto): In Jesu Demut kann ich TrostRecitative (tenor): Du teurer GottessohnChorale: Heut schleußt er wieder auf die Tür",1725 in Leipzig,Baroque,Baroque,"flute, oboe d'amore, strings, continuo (harpsichord and/or organ)",
"Der Tag ist hin, die Sonne gehet nieder, BWV 447 (Bach, Johann Sebastian)",https://imslp.org/wiki/Der_Tag_ist_hin%2C_die_Sonne_gehet_nieder%2C_BWV_447_(Bach%2C_Johann_Sebastian),"Der Tag ist hin, die Sonne gehet nieder","Bach, Johann Sebastian",BWV 447 ; BC F 221,,1 sacred song,1735,Baroque,Baroque,"voice, continuo",
"Der Tag mit seinem Lichte, BWV 448 (Bach, Johann Sebastian)",https://imslp.org/wiki/Der_Tag_mit_seinem_Lichte%2C_BWV_448_(Bach%2C_Johann_Sebastian),Der Tag mit seinem Lichte,"Bach, Johann Sebastian",BWV 448 ; BC F 222,,1 sacred song,1735,Baroque,Baroque,"voice, continuo",
"Der Tag, der ist so freudenreich, BWV 605 (Bach, Johann Sebastian)",https://imslp.org/wiki/Der_Tag%2C_der_ist_so_freudenreich%2C_BWV_605_(Bach%2C_Johann_Sebastian),"Der Tag, der ist so freudenreich","Bach, Johann Sebastian",BWV 605 ; BC K 34,G major,1 chorale prelude,"1713 ca., fromDas Orgel-Büchlein(No.7)",Baroque,Baroque,organ,2 minutes
"Der Tag, der ist so freudenreich, BWV 719 (Bach, Johann Sebastian)",https://imslp.org/wiki/Der_Tag%2C_der_ist_so_freudenreich%2C_BWV_719_(Bach%2C_Johann_Sebastian),"Der Tag, der ist so freudenreich (à 2 claviers et pédale)","Bach, Johann Sebastian",BWV 719 ; BC K 34 ; Emans 52,G major,1 chorale prelude (38 bars),1710?,Baroque,Baroque,organ,
"Thomana saß annoch betrübt, BWV Anh.19 (Bach, Johann Sebastian)",https://imslp.org/wiki/Thomana_sa%C3%9F_annoch_betr%C3%BCbt%2C_BWV_Anh.19_(Bach%2C_Johann_Sebastian),Thomana saß annoch betrübt,"Bach, Johann Sebastian","BWV Anh.19 ; BWV App  C, S. 711 ; BWV Anh. I 19 ; BC G 40",,,1734,Baroque,Baroque,,
