piece,piece_url,Work Title,Composer,Opus/Catalogue NumberOp./Cat. No.,Key,Movements/SectionsMov'ts/Sec's,Year/Date of CompositionY/D of Comp.,Composer Time PeriodComp. Period,Piece Style,Instrumentation,Average DurationAvg. Duration
"Atalanta, HWV 35 (Handel, George Frideric)",https://imslp.org/wiki/Atalanta%2C_HWV_35_(Handel%2C_George_Frideric),Atalanta,"Handel, George Frideric",HWV 35,,3 acts,1735-4-22 (end date),Baroque,Baroque,"CastAtalanta (soprano)Meleagro (soprano castrato)Irene (contralto)Aminta (tenor)Nicandro (bass)Mercurio [Mercury], the messenger god (bass)Orchestra2 oboes, [bassoon], 2 horns, 3 trumpets, timpani, strings, continuo (cello, lute, harpsichord)",
"Athalia, HWV 52 (Handel, George Frideric)",https://imslp.org/wiki/Athalia%2C_HWV_52_(Handel%2C_George_Frideric),Athalia,"Handel, George Frideric",HWV 52,,3 acts,1733-06-07 (end date),Baroque,Baroque,"CastAthalia, Baalite Queen of Judah and Daughter of Jezebel (soprano)Josabeth, Wife of Joad (soprano)Joas, King of Judah (boy soprano)Joad, High Priest (alto)Mathan, Priest of Baal, formerly a Jewish Priest (tenor)Abner, Captain of the Jewish Forces (bass)Mixed Chorus(SATB)young virgins, israelites, priests and levites, attendants, sidonian priestsOrchestra2 recorders (or flutes), 2 oboes, 2 bassoons2 horns, 2 trumpets, timpani, strings, continuo (harpsichord)",
"L'aure grate, il fresco rio, HWV 121a (Handel, George Frideric)",https://imslp.org/wiki/L'aure_grate%2C_il_fresco_rio%2C_HWV_121a_(Handel%2C_George_Frideric),"L'aure grate, il fresco rio","Handel, George Frideric",HWV 121a,F major,,,Baroque,Baroque,"alto, continuo",
"Aure soavi e liete, HWV 84 (Handel, George Frideric)",https://imslp.org/wiki/Aure_soavi_e_liete%2C_HWV_84_(Handel%2C_George_Frideric),Aure soavi e liete,"Handel, George Frideric",HWV 84,E-flat major,,1707,Baroque,Baroque,"soprano, continuo",
"Belshazzar, HWV 61 (Handel, George Frideric)",https://imslp.org/wiki/Belshazzar%2C_HWV_61_(Handel%2C_George_Frideric),Belshazzar,"Handel, George Frideric",HWV 61,,3 acts,1744,Baroque,Baroque,"voices, chorus, orchestra",
"Berenice, HWV 38 (Handel, George Frideric)",https://imslp.org/wiki/Berenice%2C_HWV_38_(Handel%2C_George_Frideric),Berenice,"Handel, George Frideric",HWV 38,,3 acts,1736-12-18 to 1737-1-27,Baroque,Baroque,"2 sopranos, 3 altos, tenor, bass, orchestra",
"La bianca rosa, HWV 160a (Handel, George Frideric)",https://imslp.org/wiki/La_bianca_rosa%2C_HWV_160a_(Handel%2C_George_Frideric),"La bianca rosa, HWV 160a","Handel, George Frideric",HWV 160a,F major,,,Baroque,Baroque,"Soprano, continuo",
"La bianca rosa, HWV 160b (Handel, George Frideric)",https://imslp.org/wiki/La_bianca_rosa%2C_HWV_160b_(Handel%2C_George_Frideric),La bianca rosa,"Handel, George Frideric",HWV 160b,F major,,,Baroque,Baroque,"soprano, continuo",
"La bianca rosa, HWV 160c (Handel, George Frideric)",https://imslp.org/wiki/La_bianca_rosa%2C_HWV_160c_(Handel%2C_George_Frideric),"La bianca rosa, HWV 160c","Handel, George Frideric",HWV 160c,F major,,,Baroque,Baroque,"Soprano, continuo",
"Blessed are They that Considereth the Poor, HWV 268 (Handel, George Frideric)",https://imslp.org/wiki/Blessed_are_They_that_Considereth_the_Poor%2C_HWV_268_(Handel%2C_George_Frideric),Blessed are They that Considereth the Poor,"Handel, George Frideric",HWV 268,,,,Baroque,Baroque,"2 oboes, 2 trumpets, timpani, strings, continuo",
"Brockes-Passion, HWV 48 (Handel, George Frideric)",https://imslp.org/wiki/Brockes-Passion%2C_HWV_48_(Handel%2C_George_Frideric),Brockes' Passion,"Handel, George Frideric",HWV 48,,51 movements,1715-16 (London),Baroque,Baroque,"voices, mixed chorus, orchestraCastMaria (soprano)3 Mägde (sopranos)Tochter Zion (soprano)Gläubige Seele (soprano)Jakobus (alto)Johannes (alto)Judas (alto)Gläubige Seele (alto)Evangelist (tenor)Petrus (tenor)Gläubige Seele (tenor)Caiphas (bass)Jesus (bass)Pilatus (bass)Kriegsknecht (bass)Gläubige Seele (bass)Mixed Chorus(SATB)Orchestra2 oboes, 2 bassoons, strings, continuo",
"Capriccio in F major, HWV 481 (Handel, George Frideric)",https://imslp.org/wiki/Capriccio_in_F_major%2C_HWV_481_(Handel%2C_George_Frideric),Capriccio in F major,"Handel, George Frideric",HWV 481,F major,1,,Baroque,Baroque,harpsichord,
"Capriccio in G minor, HWV 483 (Handel, George Frideric)",https://imslp.org/wiki/Capriccio_in_G_minor%2C_HWV_483_(Handel%2C_George_Frideric),Capriccio in G minor,"Handel, George Frideric",,G minor,1 movement,,Baroque,Baroque,harpsichord,
"Carco sempre di gloria, HWV 87 (Handel, George Frideric)",https://imslp.org/wiki/Carco_sempre_di_gloria%2C_HWV_87_(Handel%2C_George_Frideric),Carco sempre di gloria,"Handel, George Frideric",HWV 87,C major,,,Baroque,Baroque,"alto, strings, continuo",
"Care selve, aure grate, HWV 88 (Handel, George Frideric)",https://imslp.org/wiki/Care_selve%2C_aure_grate%2C_HWV_88_(Handel%2C_George_Frideric),"Care selve, aure grate","Handel, George Frideric",HWV 88,G minor,,1707-08,Baroque,Baroque,"soprano, continuo",
"Cecilia, volgi un sguardo, HWV 89 (Handel, George Frideric)",https://imslp.org/wiki/Cecilia%2C_volgi_un_sguardo%2C_HWV_89_(Handel%2C_George_Frideric),"Cecilia, volgi un sguardo","Handel, George Frideric",HWV 89,A major,,,Baroque,Baroque,"Voices:soprano, tenorOrchestra:strings, continuo",
"Chaconne in F major, HWV 485 (Handel, George Frideric)",https://imslp.org/wiki/Chaconne_in_F_major%2C_HWV_485_(Handel%2C_George_Frideric),Chaconne in F,"Handel, George Frideric",,,1,,Baroque,Baroque,harpsichord,
"Chaconne in G major, HWV 435 (Handel, George Frideric)",https://imslp.org/wiki/Chaconne_in_G_major%2C_HWV_435_(Handel%2C_George_Frideric),Chaconne in G major,"Handel, George Frideric",HWV 435,G major,1 (21 variations),,Baroque,Baroque,harpsichord,
"Chaconne in G major, HWV 442 (Handel, George Frideric)",https://imslp.org/wiki/Chaconne_in_G_major%2C_HWV_442_(Handel%2C_George_Frideric),Chaconne in G (with 62 variations),"Handel, George Frideric",HWV 442,,2 sectionsPreludioChacoone (62 var.),1705-17,Baroque,Baroque,harpsichord,
"Chaconne in G minor, HWV 486 (Handel, George Frideric)",https://imslp.org/wiki/Chaconne_in_G_minor%2C_HWV_486_(Handel%2C_George_Frideric),Chaconne,"Handel, George Frideric",HWV 486,G minor,,,Baroque,Baroque,harpsichord,
"Chaconne with 49 variations, HWV 484 (Handel, George Frideric)",https://imslp.org/wiki/Chaconne_with_49_variations%2C_HWV_484_(Handel%2C_George_Frideric),"Chaconne with 49 variations, HWV 484","Handel, George Frideric",HWV 484,C major,,,Baroque,Baroque,Harpsichord,
"Chi rapì la pace al core, HWV 90 (Handel, George Frideric)",https://imslp.org/wiki/Chi_rap%C3%AC_la_pace_al_core%2C_HWV_90_(Handel%2C_George_Frideric),Chi rapì la pace al core,"Handel, George Frideric",HWV 90,B-flat major,,,Baroque,Baroque,"soprano, continuo",
"The Choice of Hercules, HWV 69 (Handel, George Frideric)",https://imslp.org/wiki/The_Choice_of_Hercules%2C_HWV_69_(Handel%2C_George_Frideric),The Choice of Hercules,"Handel, George Frideric",HWV 69,,"2 partsPart 11. Overture2. Accompagnato: See, Hercules! how smiles yon myrtle plain (Pleasure)3. Aria: Come, blooming boy, with me repair (Pleasure)4. Aria: There the brisk sparkling nectar repair (Pleasure)5. Solo and Chorusa. Solo: While for thy arms that Beauty glows (Pleasure)b. Chorus: Seize, seize these blessings, blooming boy! (Chorus)Recitative: Away, mistaken wretch, away! (Virtue)6. Aria: This manly youth's exalted mind (Virtue)Recitative: Rise youth! exalt thyself and me (Virtue)7. Aria: Go, assert thy heav'nly race (Virtue)Recitative: In peace, in war, pursue thy country's good (Virtue)8. Solo and Chorusa. Solo: So shalt thou gain immortal praise (Virtue)b. Chorus: The golden trump of FameRecitative: Hearst thou, what dangers then thou must engage? (Pleasure)9. Solo and Chorusa. Solo: Turn thee, youth, to joy and love (Pleasure)b. Chorus: Why, ah why this fond delay?Part 2Recitative: Short is my way (Pleasure, Hercules)10. Aria: Yet, can I hear that dulcet lay (Hercules)11. Aria: Enjoy the sweet Elysian grove (an Attendant of Pleasure's)Recitative: Oh! whither, Reason, dost thou fly? (Hercules)12. Trio: Where shall I go? (Pleasure, Virtue, Hercules)13. Accompagnato: Mount, mount the steep ascent! (Virtue)14. Aria: Mount, mount the steep ascent (Virtue)15. Chorus: Arise, arise!Recitative: The sounds breathe fire celestial (Hercules)16. Aria: Lead, Goddess, lead the way (Hercules)17. Chorus: Virtue will place thee in that blest abode",1750 (28 June to 5 July),Baroque,Baroque,"voices, chorus, orchestraCastHercules (alto)Pleasure (soprano)Virtue (alto)An Attendant on Pleasure (tenor)Mixed Chorus(SATB)Orchestra",
"Chorale, HWV 480 (Handel, George Frideric)",https://imslp.org/wiki/Chorale%2C_HWV_480_(Handel%2C_George_Frideric),"Chorale prelude ""Jesu, meine Freude""","Handel, George Frideric",HWV 480,G minor,,,Baroque,Baroque,keyboard,
"Choral (Handel, George Frideric)",https://imslp.org/wiki/Choral_(Handel%2C_George_Frideric),Choral,"Handel, George Frideric",,,,,Baroque,Baroque,unknown,
"Chorus and Minuet in B-flat major, HWV 344 (Handel, George Frideric)",https://imslp.org/wiki/Chorus_and_Minuet_in_B-flat_major%2C_HWV_344_(Handel%2C_George_Frideric),Chorus and Minuet in B-flat major,"Handel, George Frideric",HWV 344,B-flat major,,,Baroque,Baroque,strings,
"Clori vezzosa Clori, HWV 95 (Handel, George Frideric)",https://imslp.org/wiki/Clori_vezzosa_Clori%2C_HWV_95_(Handel%2C_George_Frideric),Clori vezzosa Clori,"Handel, George Frideric",HWV 95,,,,Baroque,Baroque,"soprano, continuo",
"Clori, degli occhi miei, HWV 91a (Handel, George Frideric)",https://imslp.org/wiki/Clori%2C_degli_occhi_miei%2C_HWV_91a_(Handel%2C_George_Frideric),"Clori, degli occhi miei, HWV 91a","Handel, George Frideric",HWV 91,D minor,,,Baroque,Baroque,"alto, continuo",
"Clori, mia bella Clori, HWV 92 (Handel, George Frideric)",https://imslp.org/wiki/Clori%2C_mia_bella_Clori%2C_HWV_92_(Handel%2C_George_Frideric),"Clori, mia bella Clori","Handel, George Frideric",HWV 92,D minor,,,Baroque,Baroque,"soprano, 2 violins, continuo",
"Clori, ove sei?, HWV 93 (Handel, George Frideric)",https://imslp.org/wiki/Clori%2C_ove_sei%3F%2C_HWV_93_(Handel%2C_George_Frideric),"Clori, ove sei?","Handel, George Frideric",HWV 93,D minor,,,Baroque,Baroque,"soprano, continuo",
"Clori, Tirsi e Fileno, HWV 96 (Handel, George Frideric)",https://imslp.org/wiki/Clori%2C_Tirsi_e_Fileno%2C_HWV_96_(Handel%2C_George_Frideric),"Clori, Tirsi e Fileno","Handel, George Frideric",HWV 96,,,,Baroque,Baroque,"2 sopranos, alto and orchestra2 recorders, 2 oboes, strings, archlute, continuo",
"Concerti a due Cori, HWV 332-334 (Handel, George Frideric)",https://imslp.org/wiki/Concerti_a_due_Cori%2C_HWV_332-334_(Handel%2C_George_Frideric),Concerti a due Cori,"Handel, George Frideric",HWV 332-334,,3 concertiConcerto No.1 in B-flat major (p. 130)Concerto No.2 in F major (p. 159)Concerto No.3 in F major (p. 203),,Baroque,Baroque,"orchestra (2 ""choirs"" or cori)I: Strings (V. I & II, Viola, Basses (cello & double bass); Chor I & II: 2 Oboes, BassoonII & III: Strings (V. I & II, Viola, Basses (cello & double bass); Chor I & II: 2 Corni, 2 Oboes, Bassoon",
"Concerto a quattro in D major (Handel, George Frideric)",https://imslp.org/wiki/Concerto_a_quattro_in_D_major_(Handel%2C_George_Frideric),Concerto a quattro in D major,"Handel, George Frideric",,D major,"4 movements:Con Contento (D major, 17 bars)Allegro (D major, 55 bars)Largo (B minor, 24 bars)Presto D major, 42 bars)",1715 ca.,Baroque,Baroque,"2 violins, cello obligato, continuo",6 minutes
"Concerto a quattro in D minor (Handel, George Frideric)",https://imslp.org/wiki/Concerto_a_quattro_in_D_minor_(Handel%2C_George_Frideric),Sonata à 4,"Telemann, Georg Philipp",TWV 43:d3,D minor,4 movements:AdagioAllegroLargoAllegro,,Baroque,Baroque,"flute, violin, bassoon/cello, continuo",
"Concerto for Oboe and Bassoon, HWV Anh.B 308 (Handel, George Frideric)",https://imslp.org/wiki/Concerto_for_Oboe_and_Bassoon%2C_HWV_Anh.B_308_(Handel%2C_George_Frideric),Concerto for Oboe and Bassoon in C minor,"Handel, George Frideric",HWV Anh.B 308,C minor,4 movementsAdagioAllegroAffettuoso B♭majorTempo di Menuetto C minor,,Baroque,Baroque,"oboe (or flute or violin), bassoon, strings, continuo",
"Concerto Grosso in F minor, HWV Anh.B 321 (Handel, George Frideric)",https://imslp.org/wiki/Concerto_Grosso_in_F_minor%2C_HWV_Anh.B_321_(Handel%2C_George_Frideric),Concerto grosso in F minor,"Handel, George Frideric",HWV Anh.B 321,F minor,3 movementsPrestoAlla SicilianaTempo di Minuetta,,Baroque,Baroque,"oboe, violin, strings, continuo",
"Concerto Grosso in B-flat major, HWV 312 (Handel, George Frideric)",https://imslp.org/wiki/Concerto_Grosso_in_B-flat_major%2C_HWV_312_(Handel%2C_George_Frideric),Concerto Grosso in B-flat major,"Handel, George Frideric",HWV 312 ; Op.3 No.1,B-flat major,"3 movements:Allegro (71 bars, B♭major)Largo (83 bars, G minor)Allegro (36 bars, G minor)",1710-24,Baroque,Baroque,"2 flutes, 2 oboes, 2 bassoons, strings (2 violas), continuo",9-10 minutes
"Concerto Grosso in B-flat major, HWV 313 (Handel, George Frideric)",https://imslp.org/wiki/Concerto_Grosso_in_B-flat_major%2C_HWV_313_(Handel%2C_George_Frideric),Concerto Grosso in B-flat major,"Handel, George Frideric",HWV 313 ; Op.3 No.2,B-flat major,"5 movements:I. Vivace (62 bars, B-flat major)II. Largo (40 bars, G minor)III. Allegro (38 bars, B-flat major)IV. Menuet (48 bars, B-flat major)V. Gavotte (55 bars, B-flat major)",1715-18,Baroque,Baroque,"Concertino: 2 oboes, 2 violins, 2 cellosRipieno: strings continuo (bassoons, keyboard)",12 minutes
"Concerto Grosso in G major, HWV 314 (Handel, George Frideric)",https://imslp.org/wiki/Concerto_Grosso_in_G_major%2C_HWV_314_(Handel%2C_George_Frideric),Concerto Grosso in G major,"Handel, George Frideric",HWV 314 ; Op.3 No.3,G major,"3 movements:I. Largo e Staccato - Allegro (5 + 70 bars, G major)II. Adagio (8 bars, E minor)III. Allegro (123 bars, G major)",1717-18,Baroque,Baroque,"Concertino:flute (or oboe)Ripieno:strings, continuo (bassoon, keyboard)",8 minutes
"Concerto Grosso in F major, HWV 315 (Handel, George Frideric)",https://imslp.org/wiki/Concerto_Grosso_in_F_major%2C_HWV_315_(Handel%2C_George_Frideric),Concerto Grosso in F major,"Handel, George Frideric",HWV 315 ; Op.3 No.4,F major,4 movements:I. Andante - Allegro - Lentement (80 bars)II. Andante (59 bars)III. Allegro (42 bars)IV. Minuetto alternativo (40 bars),1716 (May-June),Baroque,Baroque,"Concertino:2 oboes, violinsRipieno:2 oboes, strings, continuo (bassoons, keyboard)",11-12 minutes
"Concerto Grosso in D minor, HWV 316 (Handel, George Frideric)",https://imslp.org/wiki/Concerto_Grosso_in_D_minor%2C_HWV_316_(Handel%2C_George_Frideric),Concerto Grosso in D minor,"Handel, George Frideric",HWV 316 ; Op.3 No.5,D minor,5 movements:I. Grave (39 bars)II. Allegro (76 bars)III. Adagio (15 bars)IV. Allegro ma non troppo (42 bars)V. Allegro (99 bars),1715-18,Baroque,Baroque,"2 oboes, strings, continuo",10-11 minutes
"Concerto Grosso in D major, HWV 317 (Handel, George Frideric)",https://imslp.org/wiki/Concerto_Grosso_in_D_major%2C_HWV_317_(Handel%2C_George_Frideric),Concerto Grosso in D major,"Handel, George Frideric",HWV 317 ; Op.3 No.6,D major,"2 movements:Vivace (D major, 78 bars)Allegro (D minor, 104 bars)",1715-18,Baroque,Baroque,"Concertino:2 oboes, bassoon, organ (in last movt)Ripieno:strings, continuo",7-8 minutes
"Concerto Grosso in C major, HWV 318 (Handel, George Frideric)",https://imslp.org/wiki/Concerto_Grosso_in_C_major%2C_HWV_318_(Handel%2C_George_Frideric),Concerto Grosso in C major for Alexander's Feast,"Handel, George Frideric",HWV 318,C major,4 movements:AllegroLargoAllegroAndante non presto,1736 or earlier,Baroque,Baroque,"2 oboes, strings, continuo",
"Concerto Grosso in G major, HWV 319 (Handel, George Frideric)",https://imslp.org/wiki/Concerto_Grosso_in_G_major%2C_HWV_319_(Handel%2C_George_Frideric),Concerto Grosso in G major,"Handel, George Frideric",HWV 319 ; Op.6 No.1,G major,5 movements:A tempo giustoAllegroAdagioAllegroAllegro,1739/09/29,Baroque,Baroque,"2 violins, cello, strings, continuo",13 minutes
"Concerto Grosso in F major, HWV 320 (Handel, George Frideric)",https://imslp.org/wiki/Concerto_Grosso_in_F_major%2C_HWV_320_(Handel%2C_George_Frideric),Concerto Grosso in F major,"Handel, George Frideric",HWV 320 ; Op.6 No.2,,"4 movements:Andante larghettoAllegroLargoAllegro, ma non troppo",1739-10-04,Baroque,Baroque,"2 violins, cello, strings, continuo",
"Concerto Grosso in E minor, HWV 321 (Handel, George Frideric)",https://imslp.org/wiki/Concerto_Grosso_in_E_minor%2C_HWV_321_(Handel%2C_George_Frideric),Concerto Grosso in E minor,"Handel, George Frideric",HWV 321 ; Op.6 No.3,E minor,,1739-40,Baroque,Baroque,"2 violins, cello, strings, continuo",
"Concerto Grosso in A minor, HWV 322 (Handel, George Frideric)",https://imslp.org/wiki/Concerto_Grosso_in_A_minor%2C_HWV_322_(Handel%2C_George_Frideric),Concerto Grosso in A minor,"Handel, George Frideric",HWV 322 ; Op.6 No.4,A minor,4 movements:Larghetto affetuoso (25 bars)Allegro (109 bars)Largo e piano (38 bars)Allegro (125 bars),1739,Baroque,Baroque,"2 violins, cello, strings, continuo",11 minutes
"Concerto Grosso in D major, HWV 323 (Handel, George Frideric)",https://imslp.org/wiki/Concerto_Grosso_in_D_major%2C_HWV_323_(Handel%2C_George_Frideric),Concerto Grosso in D major,"Handel, George Frideric",HWV 323 ; Op.6 No.5,D major,6 movements:Ouverture. Larghetto (24 bars)Allegro (62 bars)Presto (144 bars)Largo (40 bars)Allegro (82 bars)Menuet. Un poco larghetto (60 bars),1739,Baroque,Baroque,"Concertino:2 violins, celloRipieno:strings, continuo",
"Concerto Grosso in G minor, HWV 324 (Handel, George Frideric)",https://imslp.org/wiki/Concerto_Grosso_in_G_minor%2C_HWV_324_(Handel%2C_George_Frideric),Concerto Grosso in G minor,"Handel, George Frideric",HWV 324 ; Op.6 No.6,G minor,5 movements:Larghetto e affettuoso (58 bars)A tempo giusto (47 bars)Musette (58 bars)Allegro (92 bars)Allegro (52 bars)Gavotte* (42 bars),1739-10-15,Baroque,Baroque,"Concertino:2 violins, celloRipieno:strings, continuo",
"Concerto Grosso in B-flat major, HWV 325 (Handel, George Frideric)",https://imslp.org/wiki/Concerto_Grosso_in_B-flat_major%2C_HWV_325_(Handel%2C_George_Frideric),Concerto Grosso in B-flat major,"Handel, George Frideric",HWV 325 ; Op.6 No.7,B-flat major,5 movements:Largo (10 bars)Allegro (100 bars)Largo e piano (43 bars)Andante (60 bars)Hornpipe (56 bars),1739-10-12,Baroque,Baroque,"2 violins, cello (concertino); strings, continuo (ripieno)",15 minutes
"Concerto Grosso in C minor, HWV 326 (Handel, George Frideric)",https://imslp.org/wiki/Concerto_Grosso_in_C_minor%2C_HWV_326_(Handel%2C_George_Frideric),Concerto Grosso in C minor,"Handel, George Frideric",HWV 326 ; Op.6 No.8,C minor,6 movements:Allemande (51 bars)Grave (22 bars)Andante - Allegro (42 bars)Adagio (20 bars)Siciliana (48 bars)Allegro (24 bars),1739-10-18,Baroque,Baroque,"Concertino:2 violins, celloRipieno:strings, continuo",
"Concerto Grosso in F major, HWV 327 (Handel, George Frideric)",https://imslp.org/wiki/Concerto_Grosso_in_F_major%2C_HWV_327_(Handel%2C_George_Frideric),Concerto Grosso in F major,"Handel, George Frideric",HWV 327 ; Op.6 No.9,F major,6 movements:Largo (28 bars)Allegro (109 bars)Larghetto (51 bars)Allegro (47 bars)Menuet (28 bars)Gigue (27 bars),1739-40,Baroque,Baroque,"2 violins, cello, strings, continuo",
"Concerto Grosso in D minor, HWV 328 (Handel, George Frideric)",https://imslp.org/wiki/Concerto_Grosso_in_D_minor%2C_HWV_328_(Handel%2C_George_Frideric),Concerto Grosso in D minor,"Handel, George Frideric",HWV 328 ; Op.6 No.10,D minor,5 movements:Ouverture (71 bars)Air (56 bars)Allegro (28 bars)Allegro (116 bars)Allegro moderato (20 bars),1739-10-22,Baroque,Baroque,"Concertino:2 violins, celloRipieno:strings, continuo",
"Concerto Grosso in A major, HWV 329 (Handel, George Frideric)",https://imslp.org/wiki/Concerto_Grosso_in_A_major%2C_HWV_329_(Handel%2C_George_Frideric),Concerto Grosso in A major,"Handel, George Frideric",HWV 329 ; Op.6 No.11,A major,4 movements:Andante larghetto e staccato (16 bars)Allegro (50 bars)Largo e staccato - Andante (174 bars)Allegro (95 bars),1739-10-30,Baroque,Baroque,"Concertino:2 violins, celloRipieno:strings, continuo",
"Concerto Grosso in B minor, HWV 330 (Handel, George Frideric)",https://imslp.org/wiki/Concerto_Grosso_in_B_minor%2C_HWV_330_(Handel%2C_George_Frideric),Concerto Grosso in B minor,"Handel, George Frideric",HWV 330 ; Op.6 No.12,B minor,"5 movements:Largo (20 bars)Allegro (85 bars)Aria e variato. Larghetto (E major, 84 bars)Largo (6 bars)Allegro (67 bars). After theFuga finalisfrom the harpsichordSuite in B minor(LV 65) by F. W. Zachow, Handel's music teacher.",1739-10-20,Baroque,Baroque,"Concertino:2 violins, celloRipieno:strings, continuo",
"Concerto in B-flat major, HWV 288 (Handel, George Frideric)",https://imslp.org/wiki/Concerto_in_B-flat_major%2C_HWV_288_(Handel%2C_George_Frideric),Concerto in B-flat major,"Handel, George Frideric",HWV 288,B-flat major,3 movements,,Baroque,Baroque,"2 oboes, strings, continuo",
"Concerto in B-flat major, HWV 332 (Handel, George Frideric)",https://imslp.org/wiki/Concerto_in_B-flat_major%2C_HWV_332_(Handel%2C_George_Frideric),"Concerto in B-flat major, HWV 332","Handel, George Frideric",HWV 332,B-flat major,,,Baroque,Baroque,"Solo:4 oboes, 2 bassoons (in 2 choirs)Orchestra:strings",
"Concerto in D major, HWV 335a (Handel, George Frideric)",https://imslp.org/wiki/Concerto_in_D_major%2C_HWV_335a_(Handel%2C_George_Frideric),"Concerto in D major, HWV 335a","Handel, George Frideric",HWV 335a,D major,3,,Baroque,Baroque,"2 oboes, bassoon, 4 horns (in D), 2 trumpets (in D), timpani, strings, continuo (organ)",
"Concerto in D major (Handel, George Frideric)",https://imslp.org/wiki/Concerto_in_D_major_(Handel%2C_George_Frideric),Concerto in D major,"Handel, George Frideric",,D major,,,Baroque,Baroque,,
"Concerto in D minor, HWV 303 (Handel, George Frideric)",https://imslp.org/wiki/Concerto_in_D_minor%2C_HWV_303_(Handel%2C_George_Frideric),"Concerto in D minor, HWV 303","Handel, George Frideric",HWV 303,D minor,1 (Adagio),,Baroque,Baroque,"2 organs, 2 oboes, 2 bassoons, strings",
"Concerto in F major, HWV 302b (Handel, George Frideric)",https://imslp.org/wiki/Concerto_in_F_major%2C_HWV_302b_(Handel%2C_George_Frideric),Concerto in F major,"Handel, George Frideric",HWV 302b,F major,,,Baroque,Baroque,"2 oboes, 2 horns, strings",
"Concerto in F major, HWV 305a/b (Handel, George Frideric)",https://imslp.org/wiki/Concerto_in_F_major%2C_HWV_305a%2Fb_(Handel%2C_George_Frideric),Concerto in F major,"Handel, George Frideric",HWV 305a/b,F major,4 movements:I. OuvertureII. AllegroIII. AndanteIV. Marche: Allegro,,Baroque,Baroque,"organ (see below, Comments)",
"Concerto in F major, HWV 333 (Handel, George Frideric)",https://imslp.org/wiki/Concerto_in_F_major%2C_HWV_333_(Handel%2C_George_Frideric),Concerto in F major,"Handel, George Frideric",HWV 333,F major,,,Baroque,Baroque,"Solo:4 oboes, 2 bassoons, 4 horns (in 2 choirs)Orchestra:strings, continuo",
"Concerto in F major, HWV 334 (Handel, George Frideric)",https://imslp.org/wiki/Concerto_in_F_major%2C_HWV_334_(Handel%2C_George_Frideric),Concerto in F major,"Handel, George Frideric",HWV 334,F major,,,Baroque,Baroque,"Solo:4 oboes, 2 bassoons, 4 horns (in 2 choirs)Orchestra:strings, continuo",
"Concerto in F major, HWV 335b (Handel, George Frideric)",https://imslp.org/wiki/Concerto_in_F_major%2C_HWV_335b_(Handel%2C_George_Frideric),"Concerto in F major, HWV 335b","Handel, George Frideric",HWV 335b,F major,2,,Baroque,Baroque,"2 oboes, bassoon, 4 horns (in F), strings, continuo (organ)",
"Concerto in G major, HWV 487 (Handel, George Frideric)",https://imslp.org/wiki/Concerto_in_G_major%2C_HWV_487_(Handel%2C_George_Frideric),"Concerto, HWV 487","Handel, George Frideric",HWV 487,G major,,,Baroque,Baroque,harpsichord solo,
"Concerto in G minor (Handel, George Frideric)",https://imslp.org/wiki/Concerto_in_G_minor_(Handel%2C_George_Frideric),Concerto a 5,"Handel, George Frideric",,,"2 sections:Adagio - AllegrofromThe Lord is My Light, HWV 255PrestoSinfonia fromAcis and Galatea, HWV 49",1743,Baroque,Baroque,"2 oboes, strings (no violas), continuo",
"Courante in B minor, HWV 489 (Handel, George Frideric)",https://imslp.org/wiki/Courante_in_B_minor%2C_HWV_489_(Handel%2C_George_Frideric),Courante,"Handel, George Frideric",HWV 489,B minor,,,Baroque,Baroque,harpsichord,
"Courante in F major, HWV 488 (Handel, George Frideric)",https://imslp.org/wiki/Courante_in_F_major%2C_HWV_488_(Handel%2C_George_Frideric),Courante,"Handel, George Frideric",HWV 488,F major,,,Baroque,Baroque,harpsichord,
"Crudel tiranno amor, HWV 97 (Handel, George Frideric)",https://imslp.org/wiki/Crudel_tiranno_amor%2C_HWV_97_(Handel%2C_George_Frideric),Crudel tiranno amor,"Handel, George Frideric",HWV 97,F major,,,Baroque,Baroque,"soprano, strings, continuo",
"Cuopre tal volta il cielo, HWV 98 (Handel, George Frideric)",https://imslp.org/wiki/Cuopre_tal_volta_il_cielo%2C_HWV_98_(Handel%2C_George_Frideric),Cuopre tal volta il cielo,"Handel, George Frideric",HWV 98,D major,,,Baroque,Baroque,"bass, 2 violins, continuo",
"Da sete ardente afflitto, HWV 100 (Handel, George Frideric)",https://imslp.org/wiki/Da_sete_ardente_afflitto%2C_HWV_100_(Handel%2C_George_Frideric),Da sete ardente afflitto,"Handel, George Frideric",HWV 100,E minor,,,Baroque,Baroque,"soprano, continuo",
"Dalla guerra amorosa, HWV 102a (Handel, George Frideric)",https://imslp.org/wiki/Dalla_guerra_amorosa%2C_HWV_102a_(Handel%2C_George_Frideric),"Dalla guerra amorosa, HWV 102","Handel, George Frideric",HWV 102a,B-flat major,,,Baroque,Baroque,"bass voice, continuo",
